node_id:ID,label,doc_id,start_page:int,end_page:int,display_name,json_properties
alg::NIST.FIPS.203::1,Algorithm,NIST.FIPS.203,17,17,Algorithm 1,"{""algorithm_label"": ""Algorithm 1"", ""algorithm_name"": ""ForExample"", ""algorithm_number"": ""1"", ""raw_header"": ""Algorithm 1 ForExample ()"", ""section_id"": ""section::NIST.FIPS.203::2. Terms, Acronyms, and Notation > 2.4 Interpreting the Pseudocode > 2.4.3 Arithmetic With Arrays of Integers > Algorithm 1 ForExample ()""}"
alg::NIST.FIPS.203::10,Algorithm,NIST.FIPS.203,35,35,Algorithm 10,"{""algorithm_label"": ""Algorithm 10"", ""algorithm_name"": ""NTT"", ""algorithm_number"": ""10"", ""raw_header"": ""Algorithm 10 NTT (𝑓)"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.3 The Number-Theoretic Transform > Algorithm 10 NTT (𝑓)""}"
alg::NIST.FIPS.203::11,Algorithm,NIST.FIPS.203,36,36,Algorithm 11,"{""algorithm_label"": ""Algorithm 11"", ""algorithm_name"": ""MultiplyNTTs"", ""algorithm_number"": ""11"", ""raw_header"": ""Algorithm 11 MultiplyNTTs (𝑓, 𝑔)"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.3 The Number-Theoretic Transform > 4.3.1 Multiplication in the NTT Domain > Algorithm 11 MultiplyNTTs (𝑓, 𝑔)""}"
alg::NIST.FIPS.203::12,Algorithm,NIST.FIPS.203,36,36,Algorithm 12,"{""algorithm_label"": ""Algorithm 12"", ""algorithm_name"": ""BaseCaseMultiply"", ""algorithm_number"": ""12"", ""raw_header"": ""Algorithm 12 BaseCaseMultiply (𝑎 0 , 𝑎 1 , 𝑏 0 , 𝑏 1 , 𝛾)"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.3 The Number-Theoretic Transform > 4.3.1 Multiplication in the NTT Domain > Algorithm 12 BaseCaseMultiply (𝑎 0 , 𝑎 1 , 𝑏 0 , 𝑏 1 , 𝛾)""}"
alg::NIST.FIPS.203::13,Algorithm,NIST.FIPS.203,38,38,Algorithm 13,"{""algorithm_label"": ""Algorithm 13"", ""algorithm_name"": ""K-PKE.KeyGen"", ""algorithm_number"": ""13"", ""raw_header"": ""Algorithm 13 K-PKE.KeyGen (𝑑)"", ""section_id"": ""section::NIST.FIPS.203::5. The K-PKE Component Scheme > 5.1 K-PKE Key Generation > Algorithm 13 K-PKE . KeyGen (𝑑)""}"
alg::NIST.FIPS.203::14,Algorithm,NIST.FIPS.203,39,39,Algorithm 14,"{""algorithm_label"": ""Algorithm 14"", ""algorithm_name"": ""K-PKE.Encrypt"", ""algorithm_number"": ""14"", ""raw_header"": ""Algorithm 14 K-PKE.Encrypt ( ek PKE , 𝑚,𝑟)"", ""section_id"": ""section::NIST.FIPS.203::5. The K-PKE Component Scheme > 5.2 K-PKE Encryption""}"
alg::NIST.FIPS.203::15,Algorithm,NIST.FIPS.203,40,40,Algorithm 15,"{""algorithm_label"": ""Algorithm 15"", ""algorithm_name"": ""K-PKE.Decrypt"", ""algorithm_number"": ""15"", ""raw_header"": ""Algorithm 15 K-PKE.Decrypt ( dk PKE , 𝑐)"", ""section_id"": ""section::NIST.FIPS.203::5. The K-PKE Component Scheme > 5.3 K-PKE Decryption > Algorithm 15 K-PKE . Decrypt ( dk PKE , 𝑐)""}"
alg::NIST.FIPS.203::16,Algorithm,NIST.FIPS.203,41,41,Algorithm 16,"{""algorithm_label"": ""Algorithm 16"", ""algorithm_name"": ""ML-KEM.KeyGen_internal"", ""algorithm_number"": ""16"", ""raw_header"": ""Algorithm 16 ML-KEM.KeyGen_internal (𝑑,𝑧)"", ""section_id"": ""section::NIST.FIPS.203::6. Main Internal Algorithms > 6.1 Internal Key Generation > Algorithm 16 ML-KEM . KeyGen \\_ internal (𝑑,𝑧)""}"
alg::NIST.FIPS.203::17,Algorithm,NIST.FIPS.203,42,42,Algorithm 17,"{""algorithm_label"": ""Algorithm 17"", ""algorithm_name"": ""ML-KEM.Encaps_internal"", ""algorithm_number"": ""17"", ""raw_header"": ""Algorithm 17 ML-KEM.Encaps_internal ( ek , 𝑚)"", ""section_id"": ""section::NIST.FIPS.203::6. Main Internal Algorithms > 6.2 Internal Encapsulation > Algorithm 17 ML-KEM . Encaps \\_ internal ( ek , 𝑚)""}"
alg::NIST.FIPS.203::18,Algorithm,NIST.FIPS.203,43,43,Algorithm 18,"{""algorithm_label"": ""Algorithm 18"", ""algorithm_name"": ""ML-KEM.Decaps_internal"", ""algorithm_number"": ""18"", ""raw_header"": ""Algorithm 18 ML-KEM.Decaps_internal ( dk , 𝑐)"", ""section_id"": ""section::NIST.FIPS.203::6. Main Internal Algorithms > 6.3 Internal Decapsulation > Algorithm 18 ML-KEM . Decaps \\_ internal ( dk , 𝑐)""}"
